"node_index","node_id","node_type","node_name","node_description","node_source"
"717","COMP_002e4d370f","Complication","Rối loạn tiêu hóa","Bao gồm viêm dạ dày, rối loạn chức năng gan, rụng răng... | Bao gồm viêm dạ dày, rối loạn chức năng gan, rụng răng. | Bao gồm viêm dạ dày, rối loạn chức năng gan, rụng răng. | Bao gồm viêm dạ dày, rối loạn chức năng gan, rụng răng.","https://bachmai.gov.vn/bai-viet/bien-chung-cua-benh-dai-thao-duong?id=f17ffc43-5abb-5dcb-54d1-d3887440a421 | https://web.archive.org/web/https://bachmai.gov.vn/bai-viet/bien-chung-cua-benh-dai-thao-duong?id=f17ffc43-5abb-5dcb-54d1-d3887440a421 | https://web.archive.org/web/https://bachmai.gov.vn/bai-viet/bien-chung-cua-benh-dai-thao-duong?id=f17ffc43-5abb-5dcb-54d1-d3887440a421 | https://web.archive.org/web/https://bachmai.gov.vn/bai-viet/bien-chung-cua-benh-dai-thao-duong?id=f17ffc43-5abb-5dcb-54d1-d3887440a421"
"718","COMP_02735f457a","Complication","Tổn thương dây thần kinh","Do lượng đường dư thừa tổn thương mao mạch nuôi dưỡng dây thần kinh, gây đau, tê, ngứa. | Do lượng đường dư thừa tổn thương mao mạch nuôi dưỡng dây thần kinh, gây ngứa, tê, rát hoặc đau.","https://benhviennhitrunguong.gov.vn/benh-dai-thao-duong-o-tre-em.html | https://web.archive.org/web/https://benhviennhitrunguong.gov.vn/benh-dai-thao-duong-o-tre-em.html | https://web.archive.org/web/https://benhviennhitrunguong.gov.vn/benh-dai-thao-duong-o-tre-em.html | https://web.archive.org/web/https://benhviennhitrunguong.gov.vn/benh-dai-thao-duong-o-tre-em.html | https://benhviennhitrunguong.gov.vn/benh-dai-thao-duong-o-tre-em.html | https://web.archive.org/web/https://benhviennhitrunguong.gov.vn/benh-dai-thao-duong-o-tre-em.html | https://benhviennhitrunguong.gov.vn/benh-dai-thao-duong-o-tre-em.html | https://benhviennhitrunguong.gov.vn/benh-dai-thao-duong-o-tre-em.html"
"719","COMP_03216f1e75","Complication","Tắc mạch dẫn đến cụt chi","Biến chứng nguy hiểm do tắc nghẽn mạch máu ở chi dưới.","http://soyte.hatinh.gov.vn/tin-tuc-su-kien/thong-tin-y-te/bai-truyen-thong-benh-dai-thao-duong-va-cach-phong-ngua-benh.html"
"720","COMP_037854ef89","Complication","Toan ceton nặng","Trạng thái cấp cứu có thể gây hôn mê, nếu không được xử lý kịp thời có thể dẫn đến tử vong.","https://web.archive.org/web/https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html"
"721","COMP_039375aa71","Complication","Microalbumin niệu","Biến chứng trung gian của đái tháo đường, xuất hiện sớm ở người trẻ.","https://bachmai.gov.vn/bai-viet/cap-nhat-xu-huong-moi-trong-dieu-tri-dai-thao-duong-tip-2?id=d4ab61a0-919e-0805-1cdd-fe092c98c88e"
"722","COMP_0621fffc0c","Complication","Tăng chi phí điều trị","Chi phí điều trị đau thần kinh ngoại biên cao gấp 5 lần so với chỉ mắc ĐTĐ.","https://web.archive.org/web/https://bachmai.gov.vn/bai-viet/dai-thao-duong-bien-chung-tim-mach-va-than-kinh-ngoai-bien-sat-thu-tham-lang?id=994f4df4-95c1-4760-8aee-8d07a69f9fe1"
"723","COMP_099ef08d1e","Complication","Cơn hen cấp","Tình trạng đường thở bị tắc nghẽn, nguy hiểm đến tính mạng.","https://benhviennhitrunguong.gov.vn/loi-khuyen-cua-cac-chuyen-gia-di-ung-ve-benh-hen-2.html | https://web.archive.org/web/https://benhviennhitrunguong.gov.vn/loi-khuyen-cua-cac-chuyen-gia-di-ung-ve-benh-hen-2.html"
"724","COMP_09c68bdb01","Complication","Suy dinh dưỡng","Do rối loạn chuyển hóa glucose và giảm khẩu phần ăn phù hợp. | Do rối loạn ăn uống hoặc không hấp thu đủ chất dinh dưỡng, thường gặp trong giai đoạn điều trị ban đầu. | Do cơ thể không hấp thu đủ năng lượng từ thức ăn, dẫn đến suy giảm cân nặng và sức khỏe tổng thể. | Do cơ thể không hấp thu đủ năng lượng từ thức ăn, dẫn đến suy giảm cân nặng và sức khỏe tổng thể. | Do chế độ ăn hạn chế và tiêu hao năng lượng cao trong điều trị. | Do rối loạn chuyển hóa glucose và giảm khẩu phần ăn phù hợp.","https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html | https://web.archive.org/web/https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html | https://web.archive.org/web/https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html | https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html | https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html"
"725","COMP_0bdc060822","Complication","Suy hô hấp mạn tính","Biến chứng thường gặp ở giai đoạn muộn, biểu hiện bằng tím môi, tím đầu chi, thở co kéo cơ hô hấp phụ.","https://web.archive.org/web/https://vncdc.gov.vn/huong-dan-chan-doan-va-dieu-tri-benh-phoi-tac-nghen-man-tinh-nd14577.html"
"726","COMP_0c1c541af9","Complication","Mắt","Đục thủy tinh thể, trợt loét giác mạc, glaucoma do mạch tân tạo, xuất huyết thể kính, hội chứng Wolfram. | Đục thủy tinh thể, trợt loét giác mạc, glocom, xuất huyết thể kính, hội chứng Wolfram. | Đục thủy tinh thể, trợt loét giác mạc, glocom, xuất huyết thể kính, hội chứng Wolfram. | Đục thủy tinh thể, trợt loét giác mạc, glocom, xuất huyết thể kính, hội chứng Wolfram. | Biến chứng bao gồm đục thủy tinh thể, trợt giác mạc, glaucoma, hội chứng Wolfram. | Đục thủy tinh thể, trợt loét giác mạc, glaucoma do mạch tân tạo, hội chứng Wolfram (đái tháo đường + teo thị giác + điếc + tiểu nhạt). | Đục thủy tinh thể, trợt loét giác mạc, glaucoma do mạch tân tạo, xuất huyết thể kính, hội chứng Wolfram. | Đục thủy tinh thể, trợt loét giác mạc, glocom, xuất huyết thể kính, hội chứng Wolfram. | Đục thủy tinh thể, trợt loét giác mạc, glaucoma do mạch tân tạo, hội chứng Wolfram (đái tháo đường + teo thị giác + điếc + tiểu nhạt). | Đục thủy tinh thể, trợt loét giác mạc, glaucoma do mạch tân tạo, hội chứng Wolfram (đái tháo đường + teo thị giác + điếc + tiểu nhạt). | Đục thủy tinh thể, trợt loét giác mạc, glocom, xuất huyết thể kính, hội chứng Wolfram.","https://bachmai.gov.vn/bai-viet/bien-chung-cua-benh-dai-thao-duong?id=f17ffc43-5abb-5dcb-54d1-d3887440a421 | https://web.archive.org/web/https://bachmai.gov.vn/bai-viet/bien-chung-cua-benh-dai-thao-duong?id=f17ffc43-5abb-5dcb-54d1-d3887440a421 | https://web.archive.org/web/https://bachmai.gov.vn/bai-viet/bien-chung-cua-benh-dai-thao-duong?id=f17ffc43-5abb-5dcb-54d1-d3887440a421 | https://bachmai.gov.vn/bai-viet/bien-chung-cua-benh-dai-thao-duong?id=f17ffc43-5abb-5dcb-54d1-d3887440a421 | https://web.archive.org/web/https://bachmai.gov.vn/bai-viet/bien-chung-cua-benh-dai-thao-duong?id=f17ffc43-5abb-5dcb-54d1-d3887440a421 | https://chanthuongvacotsong.bachmai.gov.vn/bien-chung-cua-benh-dai-thao-duong/ | https://bachmai.gov.vn/bai-viet/bien-chung-cua-benh-dai-thao-duong?id=f17ffc43-5abb-5dcb-54d1-d3887440a421 | https://web.archive.org/web/https://bachmai.gov.vn/bai-viet/bien-chung-cua-benh-dai-thao-duong?id=f17ffc43-5abb-5dcb-54d1-d3887440a421 | https://chanthuongvacotsong.bachmai.gov.vn/bien-chung-cua-benh-dai-thao-duong/ | https://bachmai.gov.vn/bai-viet/bien-chung-cua-benh-dai-thao-duong?id=f17ffc43-5abb-5dcb-54d1-d3887440a421 | https://web.archive.org/web/https://bachmai.gov.vn/bai-viet/bien-chung-cua-benh-dai-thao-duong?id=f17ffc43-5abb-5dcb-54d1-d3887440a421"
