"node_index","node_id","node_type","node_name","node_description","node_source"
"1591","INTE_00bfd662c1","Intervention","Chế độ ăn kiêng thận","Giảm muối, chất đạm, phosphor, calo để giảm gánh nặng cho thận. | Giảm muối, chất đạm, phosphor và calo để giảm gánh nặng cho thận.","https://web.archive.org/web/http://soyte.hatinh.gov.vn/tin-tuc-su-kien/pho-bien-kien-thuc/dau-hieu-benh-than-va-suy-than-.html | http://soyte.hatinh.gov.vn/tin-tuc-su-kien/pho-bien-kien-thuc/dau-hieu-benh-than-va-suy-than-.html"
"1592","INTE_02623a9aa0","Intervention","Dự phòng bằng thuốc hít dạng steroid liều thấp","Đảm bảo tiếp cận điều trị hiệu quả cho mọi người, bất kể địa vị hay điều kiện kinh tế.","https://web.archive.org/web/http://phacdo.soytequangninh.gov.vn/news/tin-tuc-su-kien/hen-phe-quan-hieu-dung-de-song-khoe-dieu-tri-hieu-qua-phong-ngua-chu-dong.html"
"1593","INTE_0275f971e7","Intervention","Điều trị giảm đau triệu chứng","Sử dụng thuốc chống động kinh, chống trầm cảm ba vòng theo nguyên tắc cá thể hóa.","https://web.archive.org/web/https://bachmai.gov.vn/bai-viet/doi-moi-tu-duy-dieu-tri-dai-thao-duong-typ-2-va-chien-luoc-kiem-soat-toan-dien-bien-chung-than-kinh?id=090463d0-4515-40c8-919c-8bebc41e2c01"
"1594","INTE_0308cfc3a7","Intervention","Phẫu thuật mạch máu","Điều trị biến chứng mạch máu do ĐTĐ típ 1.","https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html"
"1595","INTE_034392f9f5","Intervention","Đơn giản hóa phác đồ","Chỉ tiêm 1 lần/ngày thay vì 2-4 lần, giúp người bệnh tuân thủ tốt hơn.","https://bachmai.gov.vn/bai-viet/dieu-tri-dai-thao-duong-tip-2-buoc-tien-moi-tu-insulin-nen-the-he-2-va-iglarlixi?id=5cdac324-549d-40aa-b3e6-80214932d112"
"1596","INTE_0352272421","Intervention","Oxy liệu pháp","Cung cấp oxy để cải thiện mức độ thiếu oxy trong máu.","https://bachmai.gov.vn/bai-viet/tho-may-khong-xam-nhap-trong-dieu-tri-benh-phoi-tac-nghen-man-tinh?id=828a5ae0-e152-ef2d-e6b5-48a6c8bafe5b"
"1597","INTE_03b68a8c53","Intervention","Thử oxy dài hạn tại nhà","Giảm khó thở, cải thiện tình trạng thiếu oxy máu mạn tính.","https://web.archive.org/web/https://vncdc.gov.vn/huong-dan-chan-doan-va-dieu-tri-benh-phoi-tac-nghen-man-tinh-nd14577.html"
"1598","INTE_04c4e97a78","Intervention","Điện thần kinh cơ","Phương pháp chẩn đoán và theo dõi tiến triển của biến chứng thần kinh ngoại vi.","https://web.archive.org/web/https://sti.vista.gov.vn/publication/view/nghien-cuu-dac-diem-lam-sang-can-lam-sang-va-chi-so-dien-than-kinh-co-o-nguoi-benh-dai-thao-duong-type-2-co-bien-chung-than-kinh-ngoai-vi-tai-benh-vie-d41b03674c28b600d59c115392319110-455331.html"
"1599","INTE_04ca4b5ac9","Intervention","Sử dụng buồng đệm với MDI","Giúp cải thiện phân bố thuốc, giảm lượng thuốc dính ở họng.","https://web.archive.org/web/https://bachmai.gov.vn/tin-chi-tiet/-/bai-viet/huong-dan-su-dung-thuoc-hit-xit-o-nguoi-mac-benh-phoi-man-tinh-8626-146.html"
"1600","INTE_07b592c87f","Intervention","Chế độ ăn DASH","Chế độ ăn giàu rau củ, trái cây, ngũ cốc nguyên hạt, hạn chế muối và đường.","https://web.archive.org/web/https://tamanhhospital.vn/tang-huyet-ap-trong-benh-than/"
