"node_index","node_id","node_type","node_name","node_description","node_source"
"996","RISK_0092ab3a09","RiskFactor","Thiếu tầm soát định kỳ","Không phát hiện sớm dẫn đến tiến triển nặng. | Không phát hiện sớm protein niệu hoặc tổn thương thận, dẫn đến tiến triển nặng. | Là yếu tố nguy cơ dẫn đến phát hiện muộn biến chứng thần kinh, gây hậu quả nặng nề.","https://web.archive.org/web/https://benhvientinh.caobang.gov.vn/index.php/vi/news/tin-tuc-su-kien/bien-chung-than-do-dai-thao-duong-6-dieu-nguoi-benh-phai-chu-y-710.html | https://benhvientinh.caobang.gov.vn/index.php/vi/news/tin-tuc-su-kien/bien-chung-than-do-dai-thao-duong-6-dieu-nguoi-benh-phai-chu-y-710.html | https://web.archive.org/web/https://bachmai.gov.vn/bai-viet/doi-moi-tu-duy-dieu-tri-dai-thao-duong-typ-2-va-chien-luoc-kiem-soat-toan-dien-bien-chung-than-kinh?id=090463d0-4515-40c8-919c-8bebc41e2c01"
"997","RISK_011f2bd641","RiskFactor","Yếu tố di truyền","Các biến thể gen (như đa hình gen) được phân tích để xác định vai trò trong nguy cơ mắc bệnh. | Được nghiên cứu để xác định vai trò trong đáp ứng can thiệp và tiên lượng bệnh. | Các biến thể gen (như đa hình gen) có vai trò trong nguy cơ mắc bệnh và phản ứng can thiệp. | Người có người thân cận kề mắc đái tháo đường týp 2 có nguy cơ cao hơn. | Gia đình có người bị hen phế quản làm tăng nguy cơ mắc bệnh.","https://vista.gov.vn/vi/news/ket-qua-nghien-cuu-trien-khai/nghien-cuu-thuan-tap-5-nam-ve-benh-dai-thao-duong-typ-2-va-hoi-chung-chuyen-hoa-o-nguoi-viet-nam-vai-tro-yeu-to-di-truyen-va-loi-song-8330.html | https://web.archive.org/web/https://vista.gov.vn/vi/news/ket-qua-nghien-cuu-trien-khai/nghien-cuu-thuan-tap-5-nam-ve-benh-dai-thao-duong-typ-2-va-hoi-chung-chuyen-hoa-o-nguoi-viet-nam-vai-tro-yeu-to-di-truyen-va-loi-song-8330.html | https://web.archive.org/web/https://vista.gov.vn/vi/news/ket-qua-nghien-cuu-trien-khai/nghien-cuu-thuan-tap-5-nam-ve-benh-dai-thao-duong-typ-2-va-hoi-chung-chuyen-hoa-o-nguoi-viet-nam-vai-tro-yeu-to-di-truyen-va-loi-song-8330.html | https://web.archive.org/web/https://vista.gov.vn/vi/news/ket-qua-nghien-cuu-trien-khai/nghien-cuu-thuan-tap-5-nam-ve-benh-dai-thao-duong-typ-2-va-hoi-chung-chuyen-hoa-o-nguoi-viet-nam-vai-tro-yeu-to-di-truyen-va-loi-song-8330.html | https://vista.gov.vn/vi/news/ket-qua-nghien-cuu-trien-khai/nghien-cuu-thuan-tap-5-nam-ve-benh-dai-thao-duong-typ-2-va-hoi-chung-chuyen-hoa-o-nguoi-viet-nam-vai-tro-yeu-to-di-truyen-va-loi-song-8330.html | https://web.archive.org/web/https://vncdc.gov.vn/huong-dan-chan-doan-va-dieu-tri-benh-dai-thao-duong-tuyp-2-nd14582.html | http://phacdo.soytequangninh.gov.vn/news/tin-tuc-su-kien/hen-phe-quan-hieu-dung-de-song-khoe-dieu-tri-hieu-qua-phong-ngua-chu-dong.html"
"998","RISK_0193f32a50","RiskFactor","Nơi ở xa trung tâm y tế","Khó khăn trong tiếp cận dịch vụ khám chữa bệnh ảnh hưởng đến tuân thủ điều trị.","https://web.archive.org/web/http://www.tapchiyhocduphong.vn/tap-chi-y-hoc-du-phong/2021/09/tuan-thu-dieu-tri-va-cac-yeu-to-lien-quan-o-benh-nhan-dai-thao-duong-tuyp-2-dieu-o81E20B40.html"
"999","RISK_01ad8a5559","RiskFactor","Sử dụng thuốc Biguanide thế hệ 1","Gây nhiễm toan acid lactic do giảm khả năng đào thải acid lactic.","https://web.archive.org/web/https://bachmai.gov.vn/bai-viet/bien-chung-cua-benh-dai-thao-duong?id=f17ffc43-5abb-5dcb-54d1-d3887440a421"
"1000","RISK_02161c64d8","RiskFactor","Không tuân thủ điều trị","Gây mất kiểm soát đường huyết, dễ dẫn đến hôn mê tăng áp lực thẩm thấu. | Gây biến chứng do không dùng insulin đúng liều hoặc không theo dõi đường huyết. | Là nguyên nhân chính dẫn đến biến chứng thận do đái tháo đường. | Là nguyên nhân chính dẫn đến biến chứng thận. | Gây biến chứng do không dùng insulin đúng liều hoặc không theo dõi đường huyết. | Gây biến chứng do không dùng insulin đúng liều hoặc không theo dõi đường huyết. | Nguyên nhân chính dẫn đến biến chứng do thiếu kiểm soát đường huyết. | Dẫn đến thất bại trong kiểm soát huyết áp và đường huyết. | Dùng thuốc không đúng giờ, liều lượng dẫn đến mất kiểm soát đường huyết. | Là yếu tố nguy cơ làm tăng nguy cơ biến chứng tim mạch và thần kinh ngoại biên, đặc biệt ở người bệnh ĐTĐ típ 2. | Là nguyên nhân chính dẫn đến biến chứng thận. | Là nguyên nhân chính dẫn đến tỷ lệ biến chứng thận cao. | Gây ra tình trạng kháng thuốc và biến chứng nặng do không dùng thuốc đúng liều. | Là nguyên nhân chính dẫn đến tỷ lệ biến chứng cao. | Là nguyên nhân chính dẫn đến tỷ lệ biến chứng thận cao. | Người bệnh không tuân thủ chỉ định thuốc hạ đường huyết và chế độ sinh hoạt. | Làm tăng nguy cơ biến chứng và làm mất cơ hội kiểm soát huyết áp. | Là yếu tố làm tăng nguy cơ biến chứng và thất bại trong điều trị. | Gây thất bại trong kiểm soát huyết áp, dẫn đến biến chứng. | Dẫn đến thất bại trong việc kiểm soát huyết áp và gia tăng biến chứng. | Gây thất bại trong kiểm soát huyết áp, dẫn đến biến chứng. | Người bệnh không uống thuốc đúng liều, đúng giờ sẽ không kiểm soát được huyết áp. | Người bệnh không uống thuốc đúng liều lượng hoặc không theo dõi huyết áp thường xuyên. | Là yếu tố nguy cơ chính dẫn đến biến chứng tim mạch do không kiểm soát huyết áp. | Người bệnh không uống thuốc hoặc không kiểm soát huyết áp sẽ có nguy cơ biến chứng cao. | Làm tăng nguy cơ biến chứng do không kiểm soát được huyết áp. | Không dùng thuốc dự phòng hoặc không khám định kỳ dẫn đến cơn hen cấp. | Nguyên nhân khiến COPD tiến triển nhanh do không kiểm soát triệu chứng và không dùng thuốc đúng cách. | Nguyên nhân khiến COPD tiến triển nhanh do không kiểm soát triệu chứng và không dùng thuốc đúng cách.","https://web.archive.org/web/https://benhviendakhoasongma.gov.vn/bai-viet/hon-me-tang-ap-luc-tham-thau-do-dai-thao-duong-210 | https://web.archive.org/web/https://benhvientinh.caobang.gov.vn/index.php/vi/news/tin-tuc-su-kien/bien-chung-than-do-dai-thao-duong-6-dieu-nguoi-benh-phai-chu-y-710.html | http://soyte.hatinh.gov.vn/tin-tuc-su-kien/thong-tin-y-te/luu-y-khi-dieu-tri-dai-thao-duong-type-1.html | https://benhvientinh.caobang.gov.vn/index.php/vi/news/tin-tuc-su-kien/bien-chung-than-do-dai-thao-duong-6-dieu-nguoi-benh-phai-chu-y-710.html | http://soyte.hatinh.gov.vn/tin-tuc-su-kien/thong-tin-y-te/luu-y-khi-dieu-tri-dai-thao-duong-type-1.html | http://soyte.hatinh.gov.vn/tin-tuc-su-kien/thong-tin-y-te/luu-y-khi-dieu-tri-dai-thao-duong-type-1.html | https://web.archive.org/web/http://soyte.hatinh.gov.vn/tin-tuc-su-kien/thong-tin-y-te/luu-y-khi-dieu-tri-dai-thao-duong-type-1.html | https://bachmai.gov.vn/bai-viet/kiem-soat-huyet-ap-va-can-nang-o-benh-nhan-dai-thao-duong-tip-2-viet-nam?id=d4b1411f-1da7-74f4-b337-1b88457dd69b | https://benhvientinh.caobang.gov.vn/index.php/vi/news/dich-vu/tiep-nhan-dieu-tri-benh-nhan-dai-thao-duong-tuyp-2-co-bien-chung-mo-mat-do-khong-di-kham-va-tam-soat-som-443.html | https://bachmai.gov.vn/bai-viet/dai-thao-duong-bien-chung-tim-mach-va-than-kinh-ngoai-bien-sat-thu-tham-lang?id=994f4df4-95c1-4760-8aee-8d07a69f9fe1 | https://benhvientinh.caobang.gov.vn/index.php/vi/news/tin-tuc-su-kien/bien-chung-than-do-dai-thao-duong-6-dieu-nguoi-benh-phai-chu-y-710.html | https://benhvientinh.caobang.gov.vn/index.php/vi/news/tin-tuc-su-kien/bien-chung-than-do-dai-thao-duong-6-dieu-nguoi-benh-phai-chu-y-710.html | https://web.archive.org/web/https://benhvientinh.caobang.gov.vn/index.php/vi/news/tin-tuc-su-kien/bien-chung-than-do-dai-thao-duong-6-dieu-nguoi-benh-phai-chu-y-710.html | https://bachmai.gov.vn/tin-chi-tiet/-/bai-viet/cap-nhat-chan-doan-dieu-tri-benh-dai-thao-duong-va-bien-chung-8971-144.html | https://benhvientinh.caobang.gov.vn/index.php/vi/news/tin-tuc-su-kien/bien-chung-than-do-dai-thao-duong-6-dieu-nguoi-benh-phai-chu-y-710.html | https://web.archive.org/web/https://benhvientinh.caobang.gov.vn/index.php/vi/news/tin-tuc-su-kien/bien-chung-than-do-dai-thao-duong-6-dieu-nguoi-benh-phai-chu-y-710.html | https://web.archive.org/web/http://www.tapchiyhocduphong.vn/tap-chi-y-hoc-du-phong/2015/08/kien-thuc-ve-benh-dai-thao-duong-va-mot-so-yeu-to-lien-quan-cua-nguoi-benh-tai-c-o81E20305.html | https://web.archive.org/web/http://bvhoanghoa.ytethanhhoa.gov.vn/web/khoa-phong-chuc-nang/khoa-phong-chuc-nang/phong-cong-tac-xa-hoi/dieu-can-luu-y-khi-dieu-tri-tang-huyet-ap.html | http://bvhoanghoa.ytethanhhoa.gov.vn/web/khoa-phong-chuc-nang/khoa-phong-chuc-nang/phong-cong-tac-xa-hoi/dieu-can-luu-y-khi-dieu-tri-tang-huyet-ap.html | https://web.archive.org/web/http://bvhoanghoa.ytethanhhoa.gov.vn/web/khoa-phong-chuc-nang/khoa-phong-chuc-nang/phong-cong-tac-xa-hoi/dieu-can-luu-y-khi-dieu-tri-tang-huyet-ap.html | http://bvhoanghoa.ytethanhhoa.gov.vn/web/khoa-phong-chuc-nang/khoa-phong-chuc-nang/to-cong-tac-xa-hoi/dieu-can-luu-y-khi-dieu-tri-tang-huyet-ap.html | http://bvhoanghoa.ytethanhhoa.gov.vn/web/khoa-phong-chuc-nang/khoa-phong-chuc-nang/phong-cong-tac-xa-hoi/dieu-can-luu-y-khi-dieu-tri-tang-huyet-ap.html | https://web.archive.org/web/http://bvhoanghoa.ytethanhhoa.gov.vn/web/khoa-phong-chuc-nang/khoa-phong-chuc-nang/phong-cong-tac-xa-hoi/dieu-can-luu-y-khi-dieu-tri-tang-huyet-ap.html | http://bvhoanghoa.ytethanhhoa.gov.vn/web/khoa-phong-chuc-nang/khoa-phong-chuc-nang/phong-cong-tac-xa-hoi/dieu-can-luu-y-khi-dieu-tri-tang-huyet-ap.html | http://bvhoanghoa.ytethanhhoa.gov.vn/web/khoa-phong-chuc-nang/khoa-phong-chuc-nang/to-cong-tac-xa-hoi/dieu-can-luu-y-khi-dieu-tri-tang-huyet-ap.html | https://web.archive.org/web/http://bvhoanghoa.ytethanhhoa.gov.vn/web/khoa-phong-chuc-nang/khoa-phong-chuc-nang/to-cong-tac-xa-hoi/dieu-can-luu-y-khi-dieu-tri-tang-huyet-ap.html | http://bvhoanghoa.ytethanhhoa.gov.vn/web/khoa-phong-chuc-nang/khoa-phong-chuc-nang/phong-cong-tac-xa-hoi/dieu-can-luu-y-khi-dieu-tri-tang-huyet-ap.html | https://web.archive.org/web/https://benhviennhitrunguong.gov.vn/tag/hen-phe-quan | https://tamanhhospital.vn/giai-doan-benh-phoi-tac-nghen-man-tinh/ | https://tamanhhospital.vn/giai-doan-benh-phoi-tac-nghen-man-tinh/"
"1001","RISK_0238b2bdae","RiskFactor","Thiếu hoạt động thể lực","Không vận động dẫn đến tích tụ mỡ và kháng insulin. | Không vận động làm giảm khả năng kiểm soát đường huyết và cân nặng. | Không vận động thường xuyên làm tăng nguy cơ mắc bệnh. | Tăng nguy cơ mắc tăng huyết áp và tổn thương cơ quan đích.","https://cdc.ninhbinh.gov.vn/tin-tuc-su-kien/benh-dai-thao-duong-va-cach-phong-ngua-benh2.html | https://web.archive.org/web/http://soyte.hatinh.gov.vn/tin-tuc-su-kien/thong-tin-y-te/bai-truyen-thong-benh-dai-thao-duong-va-cach-phong-ngua-benh.html | http://soyte.hatinh.gov.vn/tin-tuc-su-kien/thong-tin-y-te/bai-truyen-thong-benh-dai-thao-duong-va-cach-phong-ngua-benh.html | https://web.archive.org/web/https://vncdc.gov.vn/huong-dan-chan-doan-va-dieu-tri-tang-huyet-ap-nd14594.html"
"1002","RISK_024f9f4cef","RiskFactor","Dinh dưỡng không hợp lý","Ăn nhiều chất béo, đường, ít rau củ làm tăng nguy cơ. | Ăn nhiều thực phẩm chế biến sẵn, chất béo cao làm tăng nguy cơ. | Ăn nhiều thực phẩm chế biến sẵn, chất béo cao gây tăng nguy cơ.","https://cdc.ninhbinh.gov.vn/tin-tuc-su-kien/benh-dai-thao-duong-va-cach-phong-ngua-benh2.html | https://web.archive.org/web/http://soyte.hatinh.gov.vn/tin-tuc-su-kien/thong-tin-y-te/bai-truyen-thong-benh-dai-thao-duong-va-cach-phong-ngua-benh.html | http://soyte.hatinh.gov.vn/tin-tuc-su-kien/thong-tin-y-te/bai-truyen-thong-benh-dai-thao-duong-va-cach-phong-ngua-benh.html"
"1003","RISK_027b459ccb","RiskFactor","Rối loạn chức năng nội mô","Tổn thương mạch máu do viêm hoặc rối loạn nội mô. | Tổn thương mạch máu do viêm và rối loạn nội mô, làm tăng sức cản. | Tổn thương mạch máu do viêm và rối loạn nội mô, làm tăng sức cản.","https://web.archive.org/web/http://bvhoanghoa.ytethanhhoa.gov.vn/web/khoa-phong-chuc-nang/khoa-phong-chuc-nang/to-cong-tac-xa-hoi/benh-tang-huyet-ap-ke-giet-nguoi-tham-lang.html"
"1004","RISK_028d16dfa9","RiskFactor","Giảm mật độ mao mạch","Một yếu tố góp phần vào sự gia tăng kháng ngoại vi.","http://bvhoanghoa.ytethanhhoa.gov.vn/web/khoa-phong-chuc-nang/khoa-phong-chuc-nang/to-cong-tac-xa-hoi/benh-tang-huyet-ap-ke-giet-nguoi-tham-lang.html"
"1005","RISK_0373e645ae","RiskFactor","Tiền sử bệnh tim mạch do xơ vữa động mạch","Tăng nguy cơ mắc bệnh do tổn thương mạch máu.","https://web.archive.org/web/https://bachmai.gov.vn/tin-chi-tiet/-/bai-viet/chan-doan-som-benh-dai-thao-duong-tip-2-9427-146.html"
