"node_index","node_id","node_type","node_name","node_description","node_source"
"226","SYMP_00b66d965e","Symptom","Châm chích bỏng rát","Cảm giác khó chịu do tổn thương thần kinh ngoại biên, thường xuất hiện ở tay chân.","https://bachmai.gov.vn/bai-viet/doi-moi-tu-duy-dieu-tri-dai-thao-duong-typ-2-va-chien-luoc-kiem-soat-toan-dien-bien-chung-than-kinh?id=090463d0-4515-40c8-919c-8bebc41e2c01"
"227","SYMP_010f16d5a9","Symptom","Rụng tóc","Triệu chứng kèm theo rối loạn chuyển hóa. | Triệu chứng liên quan đến rối loạn chuyển hóa và thiếu hụt dinh dưỡng.","https://xayenmo.ninhbinh.gov.vn/y-te-giao-duc/benh-dai-thao-duong-dau-hieu-nhan-biet-phan-loai-va-dieu-tri-389.html"
"228","SYMP_02161c64d8","Symptom","Không tuân thủ điều trị","Người bệnh khó chấp nhận hoặc không tuân thủ phác đồ tiêm phức tạp hơn (2-4 mũi/ngày).","https://bachmai.gov.vn/bai-viet/dieu-tri-dai-thao-duong-tip-2-buoc-tien-moi-tu-insulin-nen-the-he-2-va-iglarlixi?id=5cdac324-549d-40aa-b3e6-80214932d112"
"229","SYMP_02985fa837","Symptom","Khó thở ở người hút thuốc","Người hút thuốc lâu năm thường gặp triệu chứng khó thở sớm do tổn thương phổi.","https://web.archive.org/web/https://bachmai.gov.vn/bai-viet/benh-phoi-tac-nghen-man-tinh-hieu-dung-phong-ngua-va-phat-hien-som-cung-chuyen-gia-benh-vien-bach-mai?id=bef483aa-6fde-433a-b2e8-b373eb7903a6"
"230","SYMP_03216f1e75","Symptom","Tắc mạch dẫn đến cụt chi","Biến chứng do tắc nghẽn mạch máu, có thể dẫn đến mất chi.","https://web.archive.org/web/http://soyte.hatinh.gov.vn/tin-tuc-su-kien/thong-tin-y-te/bai-truyen-thong-benh-dai-thao-duong-va-cach-phong-ngua-benh.html | http://soyte.hatinh.gov.vn/tin-tuc-su-kien/thong-tin-y-te/bai-truyen-thong-benh-dai-thao-duong-va-cach-phong-ngua-benh.html"
"231","SYMP_04ced1b570","Symptom","Sút cân","Triệu chứng thường gặp khi mắc đái tháo đường type 1 hoặc type 2. | Triệu chứng kèm theo tăng đường huyết mạn tính. | Do cơ thể phân hủy chất béo và protein để cung cấp năng lượng khi không sử dụng glucose. | Triệu chứng thường gặp khi mắc đái tháo đường type 1 hoặc type 2. | Triệu chứng thường gặp khi mắc đái tháo đường type 1 hoặc type 2. | Triệu chứng thường gặp khi mắc đái tháo đường type 1 hoặc type 2. | Triệu chứng thường đi kèm với tăng đường huyết mạn tính.","https://web.archive.org/web/https://xayenmo.ninhbinh.gov.vn/y-te-giao-duc/benh-dai-thao-duong-dau-hieu-nhan-biet-phan-loai-va-dieu-tri-389.html | https://xayenmo.ninhbinh.gov.vn/y-te-giao-duc/benh-dai-thao-duong-dau-hieu-nhan-biet-phan-loai-va-dieu-tri-389.html | https://web.archive.org/web/http://bvthanhpho.ytethanhhoa.gov.vn/web/trang-chu/khoa-phong-chuc-nang/khoa-lam-sang/khoa-noi-nhi/benh-dai-thao-duong-va-dau-hieu-nhan-biet-benh-dai-thao-duong.html | https://xayenmo.ninhbinh.gov.vn/y-te-giao-duc/benh-dai-thao-duong-dau-hieu-nhan-biet-phan-loai-va-dieu-tri-389.html | https://web.archive.org/web/https://xayenmo.ninhbinh.gov.vn/y-te-giao-duc/benh-dai-thao-duong-dau-hieu-nhan-biet-phan-loai-va-dieu-tri-389.html | https://web.archive.org/web/https://xayenmo.ninhbinh.gov.vn/y-te-giao-duc/benh-dai-thao-duong-dau-hieu-nhan-biet-phan-loai-va-dieu-tri-389.html | https://xayenmo.ninhbinh.gov.vn/y-te-giao-duc/benh-dai-thao-duong-dau-hieu-nhan-biet-phan-loai-va-dieu-tri-389.html | https://xayenmo.ninhbinh.gov.vn/y-te-giao-duc/benh-dai-thao-duong-dau-hieu-nhan-biet-phan-loai-va-dieu-tri-389.html"
"232","SYMP_04ced1b570","Symptom","Sụt cân","Do cơ thể không hấp thu đủ glucose và chuyển sang phân giải chất béo. | Do cơ thể không sử dụng được glucose để tạo năng lượng, buộc phải phân giải mỡ và cơ bắp. | Do cơ thể không sử dụng được glucose để tạo năng lượng, buộc phải phân giải mỡ và protein. | Do cơ thể không sử dụng được glucose để tạo năng lượng, buộc phải phân giải mỡ và protein. | Do cơ thể không thể sử dụng glucose để tạo năng lượng, buộc phải phân giải mỡ và cơ bắp. | Do cơ thể không thể sử dụng glucose để tạo năng lượng, buộc phải phân giải mỡ và protein. | Do cơ thể không sử dụng được glucose để tạo năng lượng, buộc phải phân giải mỡ và cơ bắp. | Do cơ thể không thể sử dụng glucose để tạo năng lượng, buộc phải phân giải mỡ và cơ bắp. | Do cơ thể không sử dụng được glucose để tạo năng lượng, buộc phải phân giải mỡ và cơ bắp. | Do cơ thể không thể sử dụng glucose để tạo năng lượng, buộc phải phân giải mỡ và cơ bắp. | Do cơ thể không thể sử dụng glucose để tạo năng lượng, buộc phải phân giải mỡ và protein.","https://syt.dongnai.gov.vn/vi/news/Suc-khoe-cong-dong/nhung-bien-chung-nguy-hiem-cua-benh-tieu-duong-2511.html | https://benhviennhitrunguong.gov.vn/benh-dai-thao-duong-o-tre-em.html | https://web.archive.org/web/https://benhviennhitrunguong.gov.vn/benh-dai-thao-duong-o-tre-em.html | https://web.archive.org/web/https://benhviennhitrunguong.gov.vn/benh-dai-thao-duong-o-tre-em.html | https://benhviennhitrunguong.gov.vn/benh-dai-thao-duong-o-tre-em.html | https://web.archive.org/web/https://benhviennhitrunguong.gov.vn/benh-dai-thao-duong-o-tre-em.html | https://web.archive.org/web/https://benhviennhitrunguong.gov.vn/benh-dai-thao-duong-o-tre-em.html | https://benhviennhitrunguong.gov.vn/benh-dai-thao-duong-o-tre-em.html | https://web.archive.org/web/https://benhviennhitrunguong.gov.vn/benh-dai-thao-duong-o-tre-em.html | https://benhviennhitrunguong.gov.vn/benh-dai-thao-duong-o-tre-em.html | https://benhviennhitrunguong.gov.vn/benh-dai-thao-duong-o-tre-em.html"
"233","SYMP_04e6aa8ff1","Symptom","Thay đổi cảm xúc","Do rối loạn chuyển hóa năng lượng ảnh hưởng đến hệ thần kinh trung ương. | Do rối loạn chuyển hóa năng lượng và tác động của đường huyết bất thường lên hệ thần kinh. | Do rối loạn chuyển hóa năng lượng và tác động của đường huyết bất thường lên hệ thần kinh. | Do rối loạn chuyển hóa glucose ảnh hưởng đến hệ thần kinh trung ương, gây bất ổn tâm trạng. | Do rối loạn chuyển hóa năng lượng ảnh hưởng đến hệ thần kinh trung ương. | Do rối loạn chuyển hóa năng lượng ảnh hưởng đến hệ thần kinh trung ương. | Do rối loạn chuyển hóa năng lượng và tác động của đường huyết bất thường lên hệ thần kinh.","https://benhviennhitrunguong.gov.vn/benh-dai-thao-duong-o-tre-em.html | https://web.archive.org/web/https://benhviennhitrunguong.gov.vn/benh-dai-thao-duong-o-tre-em.html | https://web.archive.org/web/https://benhviennhitrunguong.gov.vn/benh-dai-thao-duong-o-tre-em.html | https://benhviennhitrunguong.gov.vn/benh-dai-thao-duong-o-tre-em.html | https://web.archive.org/web/https://benhviennhitrunguong.gov.vn/benh-dai-thao-duong-o-tre-em.html | https://web.archive.org/web/https://benhviennhitrunguong.gov.vn/benh-dai-thao-duong-o-tre-em.html | https://benhviennhitrunguong.gov.vn/benh-dai-thao-duong-o-tre-em.html | https://web.archive.org/web/https://benhviennhitrunguong.gov.vn/benh-dai-thao-duong-o-tre-em.html | https://benhviennhitrunguong.gov.vn/benh-dai-thao-duong-o-tre-em.html | https://benhviennhitrunguong.gov.vn/benh-dai-thao-duong-o-tre-em.html"
"234","SYMP_0531d980ab","Symptom","Tiểu nhiều","Do lượng glucose tăng trong máu không được hấp thu, dẫn đến tiểu nhiều. | Triệu chứng thường gặp khi mắc đái tháo đường type 1 hoặc type 2. | Do lượng glucose tăng trong máu không được hấp thu, dẫn đến tiểu nhiều. | Triệu chứng điển hình của đái tháo đường do cơ thể cố gắng loại bỏ lượng glucose dư thừa qua nước tiểu. | Do tăng lượng đường trong nước tiểu, gây mất nước và kích thích nhu cầu đi tiểu. | Triệu chứng điển hình của tăng glucose huyết trong đái tháo đường. | Triệu chứng thường gặp khi mắc đái tháo đường type 1 hoặc type 2. | Triệu chứng điển hình của đái tháo đường do cơ thể cố gắng loại bỏ lượng glucose dư thừa qua nước tiểu. | Triệu chứng thường gặp khi mắc đái tháo đường type 1 hoặc type 2. | Triệu chứng thường gặp khi mắc đái tháo đường type 1 hoặc type 2.","https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html | https://web.archive.org/web/https://xayenmo.ninhbinh.gov.vn/y-te-giao-duc/benh-dai-thao-duong-dau-hieu-nhan-biet-phan-loai-va-dieu-tri-389.html | https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html | https://web.archive.org/web/https://www.vinmec.com/vie/bai-viet/tong-quan-ve-benh-dai-thao-duong-vi | https://www.vinmec.com/vie/bai-viet/tong-quan-ve-benh-dai-thao-duong-vi | https://web.archive.org/web/http://bvthanhpho.ytethanhhoa.gov.vn/web/trang-chu/khoa-phong-chuc-nang/khoa-lam-sang/khoa-noi-nhi/benh-dai-thao-duong-va-dau-hieu-nhan-biet-benh-dai-thao-duong.html | https://web.archive.org/web/https://www.benhviendakhoasongma.gov.vn/bai-viet/benh-dai-thao-duong-220 | https://xayenmo.ninhbinh.gov.vn/y-te-giao-duc/benh-dai-thao-duong-dau-hieu-nhan-biet-phan-loai-va-dieu-tri-389.html | https://web.archive.org/web/https://xayenmo.ninhbinh.gov.vn/y-te-giao-duc/benh-dai-thao-duong-dau-hieu-nhan-biet-phan-loai-va-dieu-tri-389.html | https://www.vinmec.com/vie/bai-viet/tong-quan-ve-benh-dai-thao-duong-vi | https://web.archive.org/web/https://xayenmo.ninhbinh.gov.vn/y-te-giao-duc/benh-dai-thao-duong-dau-hieu-nhan-biet-phan-loai-va-dieu-tri-389.html | https://xayenmo.ninhbinh.gov.vn/y-te-giao-duc/benh-dai-thao-duong-dau-hieu-nhan-biet-phan-loai-va-dieu-tri-389.html | https://xayenmo.ninhbinh.gov.vn/y-te-giao-duc/benh-dai-thao-duong-dau-hieu-nhan-biet-phan-loai-va-dieu-tri-389.html"
"235","SYMP_07f0ab7986","Symptom","Đau mãn tính","Gây suy giảm chất lượng sống nghiêm trọng, gánh nặng điều trị cao gấp 5 lần so với người chỉ mắc ĐTĐ. | Loại đau thường gặp trong biến chứng thần kinh đái tháo đường, cần điều trị theo nguyên tắc cá thể hóa. | Gây gánh nặng y tế cao hơn nhiều so với các bệnh lý đau mãn tính khác, ảnh hưởng đến khả năng lao động và chất lượng cuộc sống. | Gây gánh nặng y tế cao hơn nhiều so với các bệnh lý đau mãn tính khác, kèm theo chi phí điều trị gấp 5 lần người chỉ mắc ĐTĐ. | Gây mất ngủ triền miên, thậm chí dẫn đến ý nghĩ tự tử ở người bệnh. | Gây suy giảm chất lượng sống nghiêm trọng, gánh nặng điều trị cao gấp 5 lần so với người chỉ mắc ĐTĐ. | Gây gánh nặng y tế cao hơn nhiều so với các bệnh lý đau mãn tính khác, ảnh hưởng đến khả năng lao động và chất lượng cuộc sống. | Gây suy giảm chất lượng sống nghiêm trọng, gánh nặng điều trị cao gấp 5 lần so với người chỉ mắc ĐTĐ. | Gây gánh nặng y tế cao hơn nhiều so với các bệnh lý đau mãn tính khác, ảnh hưởng đến khả năng lao động và chất lượng cuộc sống. | Gây gánh nặng y tế cao hơn nhiều so với các bệnh lý đau mãn tính khác, ảnh hưởng đến khả năng lao động và chất lượng cuộc sống. | Gây gánh nặng y tế cao hơn nhiều so với các bệnh lý đau mãn tính khác, ảnh hưởng đến khả năng lao động và chất lượng cuộc sống. | Gây suy giảm chất lượng sống nghiêm trọng, gánh nặng điều trị cao gấp 5 lần so với người chỉ mắc ĐTĐ. | Gây gánh nặng y tế cao hơn nhiều so với các bệnh lý đau mãn tính khác, kèm theo chi phí điều trị gấp 5 lần người chỉ mắc ĐTĐ. | Gây suy giảm chất lượng sống nghiêm trọng, gánh nặng điều trị cao gấp 5 lần so với người chỉ mắc ĐTĐ. | Gây suy giảm chất lượng sống nghiêm trọng, gánh nặng điều trị cao gấp 5 lần so với người chỉ mắc ĐTĐ. | Gây gánh nặng y tế cao hơn nhiều so với các bệnh lý đau mãn tính khác, ảnh hưởng đến khả năng lao động và chất lượng cuộc sống. | Gây suy giảm chất lượng sống nghiêm trọng, gánh nặng điều trị cao gấp 5 lần so với người chỉ mắc ĐTĐ.","https://web.archive.org/web/https://bachmai.gov.vn/bai-viet/doi-moi-tu-duy-dieu-tri-dai-thao-duong-typ-2-va-chien-luoc-kiem-soat-toan-dien-bien-chung-than-kinh?id=090463d0-4515-40c8-919c-8bebc41e2c01 | https://bachmai.gov.vn/bai-viet/doi-moi-tu-duy-dieu-tri-dai-thao-duong-typ-2-va-chien-luoc-kiem-soat-toan-dien-bien-chung-than-kinh?id=090463d0-4515-40c8-919c-8bebc41e2c01 | https://bachmai.gov.vn/bai-viet/dai-thao-duong-bien-chung-tim-mach-va-than-kinh-ngoai-bien-sat-thu-tham-lang?id=994f4df4-95c1-4760-8aee-8d07a69f9fe1 | https://web.archive.org/web/https://bachmai.gov.vn/bai-viet/dai-thao-duong-bien-chung-tim-mach-va-than-kinh-ngoai-bien-sat-thu-tham-lang?id=994f4df4-95c1-4760-8aee-8d07a69f9fe1 | https://bachmai.gov.vn/bai-viet/dai-thao-duong-bien-chung-tim-mach-va-than-kinh-ngoai-bien-sat-thu-tham-lang?id=994f4df4-95c1-4760-8aee-8d07a69f9fe1 | https://web.archive.org/web/https://chanthuongvacotsong.bachmai.gov.vn/dai-thao-duong-bien-chung-tim-mach-va-than-kinh-ngoai-bien-sat-thu-tham-lang/ | https://web.archive.org/web/https://bachmai.gov.vn/bai-viet/dai-thao-duong-bien-chung-tim-mach-va-than-kinh-ngoai-bien-sat-thu-tham-lang?id=994f4df4-95c1-4760-8aee-8d07a69f9fe1 | https://bachmai.gov.vn/bai-viet/dai-thao-duong-bien-chung-tim-mach-va-than-kinh-ngoai-bien-sat-thu-tham-lang?id=994f4df4-95c1-4760-8aee-8d07a69f9fe1 | https://web.archive.org/web/https://bachmai.gov.vn/bai-viet/dai-thao-duong-bien-chung-tim-mach-va-than-kinh-ngoai-bien-sat-thu-tham-lang?id=994f4df4-95c1-4760-8aee-8d07a69f9fe1 | https://bachmai.gov.vn/bai-viet/dai-thao-duong-bien-chung-tim-mach-va-than-kinh-ngoai-bien-sat-thu-tham-lang?id=994f4df4-95c1-4760-8aee-8d07a69f9fe1 | https://bachmai.gov.vn/bai-viet/dai-thao-duong-bien-chung-tim-mach-va-than-kinh-ngoai-bien-sat-thu-tham-lang?id=994f4df4-95c1-4760-8aee-8d07a69f9fe1 | https://chanthuongvacotsong.bachmai.gov.vn/dai-thao-duong-bien-chung-tim-mach-va-than-kinh-ngoai-bien-sat-thu-tham-lang/ | https://web.archive.org/web/https://bachmai.gov.vn/bai-viet/dai-thao-duong-bien-chung-tim-mach-va-than-kinh-ngoai-bien-sat-thu-tham-lang?id=994f4df4-95c1-4760-8aee-8d07a69f9fe1 | https://bachmai.gov.vn/bai-viet/dai-thao-duong-bien-chung-tim-mach-va-than-kinh-ngoai-bien-sat-thu-tham-lang?id=994f4df4-95c1-4760-8aee-8d07a69f9fe1 | https://bachmai.gov.vn/bai-viet/dai-thao-duong-bien-chung-tim-mach-va-than-kinh-ngoai-bien-sat-thu-tham-lang?id=994f4df4-95c1-4760-8aee-8d07a69f9fe1 | https://web.archive.org/web/https://bachmai.gov.vn/bai-viet/dai-thao-duong-bien-chung-tim-mach-va-than-kinh-ngoai-bien-sat-thu-tham-lang?id=994f4df4-95c1-4760-8aee-8d07a69f9fe1 | https://bachmai.gov.vn/bai-viet/dai-thao-duong-bien-chung-tim-mach-va-than-kinh-ngoai-bien-sat-thu-tham-lang?id=994f4df4-95c1-4760-8aee-8d07a69f9fe1 | https://web.archive.org/web/https://bachmai.gov.vn/bai-viet/dai-thao-duong-bien-chung-tim-mach-va-than-kinh-ngoai-bien-sat-thu-tham-lang?id=994f4df4-95c1-4760-8aee-8d07a69f9fe1"
