"node_index","node_id","node_type","node_name","node_description","node_source"
"507","DIAG_00309f8cd8","DiagnosticTest","Điện tâm đồ (ECG)","Ghi lại tín hiệu điện tim để phát hiện biến chứng tim mạch do tăng huyết áp. | Loại trừ nguyên nhân tim mạch gây khó thở.","https://tamanhhospital.vn/tang-huyet-ap-thu-phat/ | https://medlatec.vn/tu-dien-benh-ly/con-hen-ac-tinh"
"508","DIAG_007ec2036f","DiagnosticTest","Đo huyết áp tại nhà","Tự đo nhiều lần để xác định huyết áp, phù hợp với bệnh nhân điều trị dài hạn.","https://chanthuongvacotsong.bachmai.gov.vn/huong-dan-chan-doan-va-dieu-tri-tang-huyet-ap/"
"509","DIAG_019263a41a","DiagnosticTest","Kiểm tra lượng đường trong máu thường xuyên","Giúp theo dõi mức độ kiểm soát đường huyết và điều chỉnh phương pháp điều trị phù hợp.","http://ttyt.tamduong.laichau.gov.vn/quan-ly-nha-nuoc/hoat-dong-doan-doi/dai-thao-duong-tuyp-2-nguyen-nhan-trieu-chung-chan-doan-va-d.html | https://web.archive.org/web/http://ttyt.tamduong.laichau.gov.vn/quan-ly-nha-nuoc/hoat-dong-doan-doi/dai-thao-duong-tuyp-2-nguyen-nhan-trieu-chung-chan-doan-va-d.html"
"510","DIAG_0202af46c2","DiagnosticTest","Khám tai mũi họng","Để phát hiện các yếu tố kích thích dị nguyên gây hen.","https://www.vinmec.com/vie/bai-viet/bien-chung-lau-dai-cua-benh-hen-phe-quan-vi"
"511","DIAG_03a92f20c6","DiagnosticTest","Nghiệm pháp dung nạp Glucose","Chẩn đoán dựa trên chỉ số glucose sau 2 giờ >11,1 mmol/l.","https://xayenmo.ninhbinh.gov.vn/y-te-giao-duc/benh-dai-thao-duong-dau-hieu-nhan-biet-phan-loai-va-dieu-tri-389.html"
"512","DIAG_04c4e97a78","DiagnosticTest","Điện thần kinh cơ","Phương pháp chẩn đoán cận lâm sàng để đánh giá chức năng thần kinh vận động và cảm giác.","https://web.archive.org/web/https://sti.vista.gov.vn/publication/view/nghien-cuu-dac-diem-lam-sang-can-lam-sang-va-chi-so-dien-than-kinh-co-o-nguoi-benh-dai-thao-duong-type-2-co-bien-chung-than-kinh-ngoai-vi-tai-benh-vie-d41b03674c28b600d59c115392319110-455331.html | https://sti.vista.gov.vn/publication/view/nghien-cuu-dac-diem-lam-sang-can-lam-sang-va-chi-so-dien-than-kinh-co-o-nguoi-benh-dai-thao-duong-type-2-co-bien-chung-than-kinh-ngoai-vi-tai-benh-vie-d41b03674c28b600d59c115392319110-455331.html"
"513","DIAG_068b347e34","DiagnosticTest","Xét nghiệm glucose máu lúc đói","Chẩn đoán dựa trên mức glucose huyết tương lúc đói ≥ 7,0 mmol/l.","https://web.archive.org/web/https://chanthuongvacotsong.bachmai.gov.vn/huong-dan-chan-doan-va-dieu-tri-dai-thao-duong-type-2/"
"514","DIAG_075f12515f","DiagnosticTest","Đo glucose máu","Phương pháp chẩn đoán và theo dõi mức đường huyết trong máu để xác định tình trạng ĐTĐ típ 1.","https://web.archive.org/web/https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html"
"515","DIAG_0805865229","DiagnosticTest","Kiểm tra nồng độ đường huyết","Đo nồng độ đường máu >33.3 mmol/l để chẩn đoán xác định.","https://web.archive.org/web/https://benhviendakhoasongma.gov.vn/bai-viet/hon-me-tang-ap-luc-tham-thau-do-dai-thao-duong-210"
"516","DIAG_09d6dd5a6f","DiagnosticTest","Chẩn đoán tiền đái tháo đường","Xác định người có nguy cơ cao mắc bệnh, giúp can thiệp sớm.","http://ttyt.tamduong.laichau.gov.vn/quan-ly-nha-nuoc/hoat-dong-doan-doi/dai-thao-duong-tuyp-2-nguyen-nhan-trieu-chung-chan-doan-va-d.html | http://ttyt.tamduong.laichau.gov.vn/quan-ly-nha-nuoc/hoat-dong-doan-doi/dai-thao-duong-tuyp-2-nguyen-nhan-trieu-chung-chan-doan-va-d.html | https://web.archive.org/web/http://ttyt.tamduong.laichau.gov.vn/quan-ly-nha-nuoc/hoat-dong-doan-doi/dai-thao-duong-tuyp-2-nguyen-nhan-trieu-chung-chan-doan-va-d.html"
"517","DIAG_0b1fd46ea4","DiagnosticTest","Xét nghiệm dị nguyên","Để xác định yếu tố gây dị ứng có thể là nguyên nhân kích thích cơn hen.","https://web.archive.org/web/https://benhviennhitrunguong.gov.vn/tag/hen-phe-quan"
"518","DIAG_0b693b90a8","DiagnosticTest","Định lượng Glucose máu sau ăn","Chẩn đoán đái tháo đường nếu glucose sau ăn ≥11,1 mmol/l (≥200 mg/dL). | Chẩn đoán bệnh đái tháo đường bằng cách đo glucose máu sau bữa ăn.","https://bachmai.gov.vn/bai-viet/bien-chung-cua-benh-dai-thao-duong?id=f17ffc43-5abb-5dcb-54d1-d3887440a421 | https://chanthuongvacotsong.bachmai.gov.vn/bien-chung-cua-benh-dai-thao-duong/"
"519","DIAG_0b929e8348","DiagnosticTest","Chụp đáy mắt","Xác định tổn thương võng mạc và dịch kính võng mạc do tăng huyết áp.","https://tamanhhospital.vn/tang-huyet-ap-thu-phat/"
"520","DIAG_0eb29c3d50","DiagnosticTest","Đo nồng độ khí CO2 và SpO2","Xác định mức độ oxy hóa và tình trạng thiếu oxy trong cơn hen cấp.","https://web.archive.org/web/https://benhviennhitrunguong.gov.vn/tag/hen-phe-quan"
"521","DIAG_10282c128c","DiagnosticTest","Làm test thở","Đo lượng khí thở ra để đánh giá chức năng phổi và mức độ hen.","https://benhviennhitrunguong.gov.vn/loi-khuyen-cua-cac-chuyen-gia-di-ung-ve-benh-hen-2.html | https://web.archive.org/web/https://benhviennhitrunguong.gov.vn/loi-khuyen-cua-cac-chuyen-gia-di-ung-ve-benh-hen-2.html"
