"node_index","node_id","node_type","node_name","node_description","node_source"
"1952","PATH_07869c8d97","Pathogen","Không có tác nhân cụ thể","Cơ chế tổn thương thận do đái tháo đường vẫn chưa rõ.","https://benhvientinh.caobang.gov.vn/index.php/vi/news/tin-tuc-su-kien/bien-chung-than-do-dai-thao-duong-6-dieu-nguoi-benh-phai-chu-y-710.html"
"1953","PATH_0f16e6bb6d","Pathogen","Kháng thể IA-2","Kháng thể liên quan đến phá hủy tế bào beta tụy trong ĐTĐ típ 1.","https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html"
"1954","PATH_16b78f4d7d","Pathogen","Virus Epstein-Barr","Loại virus có thể gây tổn thương tụy, dẫn đến phát triển đái tháo đường típ 1.","https://web.archive.org/web/https://ttytiapa.gialai.gov.vn/van-ban/huong-dan-chan-doan-va-dieu-tri-benh-dai-thao-duong-tip-1-o-.html"
"1955","PATH_1cc7415440","Pathogen","Không đề cập vi sinh vật","Nghiên cứu không liên quan đến nhiễm trùng hay vi khuẩn gây bệnh.","https://nsti.vista.gov.vn/publication/view/nghien-cuu-dac-diem-lam-sang-can-lam-sang-va-danh-gia-bien-chung-than-o-benh-nhan-dai-thao-duong-type-2-tai-khoa-noi-3-benh-vien-huu-nghi-viet-tiep-hai-phong-350723.html"
"1956","PATH_20d6db8b04","Pathogen","Vibrio cholerae","Vi khuẩn gây bệnh tiêu chảy cấp, không phải nguyên nhân của đái tháo đường. | Không đề cập trong văn bản. Không phải là tác nhân gây TALTT do đái tháo đường. | Vi khuẩn gây bệnh tiêu chảy cấp, không liên quan đến đái tháo đường. | Vi khuẩn gây bệnh tiêu chảy cấp, không liên quan trực tiếp đến đái tháo đường. | Vi khuẩn gây bệnh tiêu chảy cấp, không liên quan đến ĐTĐ típ 1. | Không có trong tài liệu. Không trích xuất. | Vi khuẩn gây bệnh tiêu chảy cấp, không liên quan đến đái tháo đường. | Vi khuẩn gây bệnh tiêu chảy cấp, không liên quan trực tiếp đến đái tháo đường týp 2. | Vi khuẩn gây bệnh tiêu chảy cấp, không liên quan trực tiếp đến đái tháo đường. | Không có trong tài liệu. Không trích xuất. | Không được đề cập trong văn bản. | Vi khuẩn gây bệnh tiêu chảy cấp – không liên quan đến biến chứng thận do đái tháo đường. | Vi khuẩn gây bệnh tiêu chảy cấp, không liên quan trực tiếp đến đái tháo đường týp 2. | Không có trong tài liệu. Không trích xuất. | Vi khuẩn gây bệnh tiêu chảy cấp, không liên quan trực tiếp đến đái tháo đường. | Nguyên nhân gây bệnh tả, phổ biến ở vùng nông thôn và khu vực có điều kiện vệ sinh kém. | Nguyên nhân gây bệnh tả, phổ biến ở vùng nông thôn và khu vực có điều kiện vệ sinh kém. | Không đề cập trong văn bản. | Vi khuẩn gây bệnh tả, không liên quan đến COPD trong bài viết này. | Không mô tả | Không được đề cập trong bài viết.","https://web.archive.org/web/https://benhvienquynhon.gov.vn/tin-tuc/hoat-dong-cua-ttyt/dai-thao-duong-va-nhung-dieu-ban-can-biet/ | https://web.archive.org/web/https://benhviendakhoasongma.gov.vn/bai-viet/hon-me-tang-ap-luc-tham-thau-do-dai-thao-duong-210 | https://benhviennhitrunguong.gov.vn/benh-dai-thao-duong-o-tre-em.html | https://bachmai.gov.vn/bai-viet/bien-chung-cua-benh-dai-thao-duong?id=f17ffc43-5abb-5dcb-54d1-d3887440a421 | https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html | https://web.archive.org/web/https://chanthuongvacotsong.bachmai.gov.vn/huong-dan-chan-doan-va-dieu-tri-dai-thao-duong-type-2/ | https://web.archive.org/web/https://benhviennhitrunguong.gov.vn/benh-dai-thao-duong-o-tre-em.html | https://web.archive.org/web/https://vncdc.gov.vn/huong-dan-chan-doan-va-dieu-tri-benh-dai-thao-duong-tuyp-2-nd14582.html | https://chanthuongvacotsong.bachmai.gov.vn/huong-dan-chan-doan-va-dieu-tri-dai-thao-duong-type-2/ | https://web.archive.org/web/https://chanthuongvacotsong.bachmai.gov.vn/huong-dan-chan-doan-va-dieu-tri-dai-thao-duong-type-2/ | https://bachmai.gov.vn/bai-viet/bien-chung-cua-benh-dai-thao-duong?id=f17ffc43-5abb-5dcb-54d1-d3887440a421 | https://benhvientinh.caobang.gov.vn/index.php/vi/news/tin-tuc-su-kien/bien-chung-than-do-dai-thao-duong-6-dieu-nguoi-benh-phai-chu-y-710.html | https://web.archive.org/web/https://vncdc.gov.vn/huong-dan-chan-doan-va-dieu-tri-benh-dai-thao-duong-tuyp-2-nd14582.html | https://chanthuongvacotsong.bachmai.gov.vn/huong-dan-chan-doan-va-dieu-tri-dai-thao-duong-type-2/ | https://web.archive.org/web/https://chanthuongvacotsong.bachmai.gov.vn/huong-dan-chan-doan-va-dieu-tri-dai-thao-duong-type-2/ | https://web.archive.org/web/http://www.tapchiyhocduphong.vn/tap-chi-y-hoc-du-phong/2015/08/kien-thuc-ve-benh-dai-thao-duong-va-mot-so-yeu-to-lien-quan-cua-nguoi-benh-tai-c-o81E20305.html | https://web.archive.org/web/http://www.tapchiyhocduphong.vn/tap-chi-y-hoc-du-phong/2015/08/kien-thuc-ve-benh-dai-thao-duong-va-mot-so-yeu-to-lien-quan-cua-nguoi-benh-tai-c-o81E20305.html | https://www.vinmec.com/vie/bai-viet/benh-phoi-tac-nghen-man-tinh-copd-vi | https://web.archive.org/web/https://bachmai.gov.vn/bai-viet/benh-phoi-tac-nghen-man-tinh-hieu-dung-phong-ngua-va-phat-hien-som-cung-chuyen-gia-benh-vien-bach-mai?id=bef483aa-6fde-433a-b2e8-b373eb7903a6 | https://bachmai.gov.vn/bai-viet/tho-may-khong-xam-nhap-trong-dieu-tri-benh-phoi-tac-nghen-man-tinh?id=828a5ae0-e152-ef2d-e6b5-48a6c8bafe5b | https://web.archive.org/web/https://bachmai.gov.vn/bai-viet/benh-phoi-tac-nghen-man-tinh-hieu-dung-phong-ngua-va-phat-hien-som-cung-chuyen-gia-benh-vien-bach-mai?id=bef483aa-6fde-433a-b2e8-b373eb7903a6"
"1957","PATH_215bd3acb3","Pathogen","Hepatitis virus (A, B, C)","Virus gây viêm gan, không phải nguyên nhân của đái tháo đường.","https://web.archive.org/web/https://benhvienquynhon.gov.vn/tin-tuc/hoat-dong-cua-ttyt/dai-thao-duong-va-nhung-dieu-ban-can-biet/"
"1958","PATH_22d2702f32","Pathogen","Không xác định rõ nguyên nhân vi sinh","COPD không do vi khuẩn hay virus gây ra, mà là do tổn thương phổi mãn tính.","https://tamanhhospital.vn/giai-doan-benh-phoi-tac-nghen-man-tinh/"
"1959","PATH_28f6bcac13","Pathogen","Streptococcus pneumoniae","Vi khuẩn phổ biến gây viêm phổi và đợt cấp BPTNMT, đặc biệt ở người già. | Vi khuẩn phổ biến nhất gây đợt cấp COPD. | Vi khuẩn phổ biến gây viêm phổi và đợt cấp BPTNMT, đặc biệt ở người già.","https://web.archive.org/web/https://vncdc.gov.vn/huong-dan-chan-doan-va-dieu-tri-benh-phoi-tac-nghen-man-tinh-nd14577.html | https://bachmai.gov.vn/bai-viet/phong-dot-cap-benh-phoi-tac-nghen-man-tinh?id=28510cbf-b2a4-a5e6-65a7-7b91e89cf5eb | https://web.archive.org/web/https://vncdc.gov.vn/huong-dan-chan-doan-va-dieu-tri-benh-phoi-tac-nghen-man-tinh-nd14577.html | https://bachmai.gov.vn/bai-viet/tho-may-khong-xam-nhap-trong-dieu-tri-benh-phoi-tac-nghen-man-tinh?id=828a5ae0-e152-ef2d-e6b5-48a6c8bafe5b"
"1960","PATH_2b20ef88fe","Pathogen","Thức ăn gây dị ứng","Các loại thức ăn như trứng, sữa, hải sản có thể là yếu tố kích thích cơn hen.","https://web.archive.org/web/https://benhviennhitrunguong.gov.vn/tag/hen-phe-quan"
"1961","PATH_2bcb26f25c","Pathogen","Vi khuẩn gây viêm xoang","Có thể là nguyên nhân kích hoạt phản ứng viêm trong đường thở.","https://medlatec.vn/tu-dien-benh-ly/con-hen-ac-tinh"
