"node_index","node_id","node_type","node_name","node_description","indication","mechanism_of_action","node_source"
"84","DRUG_04ea3a726e","Drug","Ipratropium bromide","Thường dùng phối hợp với salbutamol.","Dùng để hỗ trợ giãn phế quản khi không đáp ứng với salbutamol.","Thuốc kháng cholinergic, ức chế trương lực phó giao cảm.","https://medlatec.vn/tu-dien-benh-ly/con-hen-ac-tinh"
"85","DRUG_07119a6dfc","Drug","Vắc-xin phòng cúm","Tiêm hàng năm, liều lượng theo hướng dẫn của bác sĩ. | Tiêm hàng năm, giúp phòng ngừa các đợt viêm phổi do virus cúm. | Tiêm hàng năm, liều lượng theo hướng dẫn của bác sĩ.","Tiêm hàng năm để giảm nguy cơ nhiễm trùng hô hấp, từ đó ngăn ngừa tiến triển của COPD. | Tiêm hàng năm để giảm nguy cơ nhiễm trùng hô hấp. | Tiêm hàng năm để giảm nguy cơ nhiễm trùng hô hấp dẫn đến COPD. | Tiêm hàng năm để giảm nguy cơ nhiễm trùng hô hấp, từ đó ngăn ngừa tiến triển của COPD.","Tạo miễn dịch đặc hiệu chống lại virus gây cúm. | Tạo miễn dịch đặc hiệu chống lại virus gây cúm. | Tạo miễn dịch đặc hiệu chống lại virus cúm.","https://web.archive.org/web/https://bachmai.gov.vn/bai-viet/benh-phoi-tac-nghen-man-tinh-hieu-dung-phong-ngua-va-phat-hien-som-cung-chuyen-gia-benh-vien-bach-mai?id=bef483aa-6fde-433a-b2e8-b373eb7903a6 | https://bachmai.gov.vn/bai-viet/benh-phoi-tac-nghen-man-tinh-hieu-dung-phong-ngua-va-phat-hien-som-cung-chuyen-gia-benh-vien-bach-mai?id=bef483aa-6fde-433a-b2e8-b373eb7903a6"
"86","DRUG_08b7f5b961","Drug","Thuốc điều trị rối loạn lipid máu","Cần dùng kèm theo giám sát tác dụng phụ và tương tác thuốc.","Kiểm soát LDL-C, phòng ngừa biến cố tim mạch.","Giảm cholesterol máu, làm chậm tiến triển của các bệnh lý tim mạch.","https://bachmai.gov.vn/bai-viet/dai-thao-duong-bien-chung-tim-mach-va-than-kinh-ngoai-bien-sat-thu-tham-lang?id=994f4df4-95c1-4760-8aee-8d07a69f9fe1"
"87","DRUG_0c4a47f33e","Drug","Thuốc chống kết tập tiểu cầu","Liều lượng theo chỉ định bác sĩ, thường dùng kết hợp với thuốc hạ huyết áp.","Ngăn ngừa huyết khối trong động mạch bị hẹp.","Ức chế hoạt động của các yếu tố đông máu và ngăn chặn sự hình thành cục máu đông.","https://web.archive.org/web/https://medlatec.vn/tin-tuc/hep-dong-mach-than-la-gi-muc-do-nguy-hiem-va-phuong-phap-dieu-tri"
"88","DRUG_0ddc2f6f5f","Drug","Thuốc làm loãng đờm","Không mô tả","Điều trị đờm đặc, khó khạc.","","https://web.archive.org/web/https://bachmai.gov.vn/tin-chi-tiet/-/bai-viet/huong-dan-su-dung-thuoc-hit-xit-o-nguoi-mac-benh-phoi-man-tinh-8626-146.html"
"89","DRUG_0df520cc33","Drug","Corticoid dạng hít","Liều lượng thấp, dùng đều đặn ngay cả khi không có triệu chứng.","Điều trị dự phòng hen phế quản để kiểm soát viêm đường thở. | Dùng để điều trị dài hạn, kiểm soát viêm phế quản mạn tính.","Ức chế phản ứng viêm ở đường thở bằng cách ức chế tế bào miễn dịch và giảm tiết nhầy. | Ức chế phản ứng viêm, giảm tiết nhầy và co thắt phế quản.","https://web.archive.org/web/http://phacdo.soytequangninh.gov.vn/news/tin-tuc-su-kien/hen-phe-quan-hieu-dung-de-song-khoe-dieu-tri-hieu-qua-phong-ngua-chu-dong.html | http://phacdo.soytequangninh.gov.vn/news/tin-tuc-su-kien/hen-phe-quan-hieu-dung-de-song-khoe-dieu-tri-hieu-qua-phong-ngua-chu-dong.html"
"90","DRUG_1ea2882c63","Drug","GLP-1 agonists","Liều thường dùng: 0.6 mg - 1.8 mg/ngày, tiêm dưới da. | Liều lượng thường bắt đầu từ 0.6 mg/ngày, có thể tăng lên đến 1.8 mg/ngày.","Chỉ định cho ĐTĐ type 2, giúp kiểm soát đường huyết và giảm cân. | Chỉ định cho bệnh nhân type 2, giúp giảm lượng glucose máu và kiểm soát cân nặng.","Kích thích tiết insulin sau ăn và ức chế tiết glucagon, đồng thời làm chậm trống rỗng dạ dày. | Tăng tiết insulin sau ăn, giảm tiết glucagon và làm chậm trống rỗng dạ dày.","https://web.archive.org/web/https://www.vinmec.com/vie/bai-viet/tong-quan-ve-benh-dai-thao-duong-vi | https://www.vinmec.com/vie/bai-viet/tong-quan-ve-benh-dai-thao-duong-vi"
"91","DRUG_1ebf8d0df2","Drug","iGlarLixi","Tiêm 1 lần/ngày, ít gây tăng cân, ít hạ đường huyết hơn các insulin trộn sẵn, hiệu quả tương đương hoặc vượt trội so với IDegAsp hay BIAsp30. | Tiêm 1 lần/ngày, giảm nguy cơ hạ đường huyết, ít gây tăng cân, cải thiện tuân thủ. | Tiêm 1 lần/ngày, ít gây tăng cân và hạ đường huyết hơn các insulin trộn sẵn, hiệu quả tương đương hoặc vượt trội so với IDegAsp hay BIAsp30.","Điều trị đái tháo đường típ 2 chưa kiểm soát tốt bằng insulin nền hoặc thuốc uống.","Phối hợp insulin glargine U100 và GLP-1RA lixisenatide để kiểm soát cả đường huyết đói và sau ăn.","https://bachmai.gov.vn/bai-viet/dieu-tri-dai-thao-duong-tip-2-buoc-tien-moi-tu-insulin-nen-the-he-2-va-iglarlixi?id=5cdac324-549d-40aa-b3e6-80214932d112 | https://web.archive.org/web/https://bachmai.gov.vn/bai-viet/dieu-tri-dai-thao-duong-tip-2-buoc-tien-moi-tu-insulin-nen-the-he-2-va-iglarlixi?id=5cdac324-549d-40aa-b3e6-80214932d112 | https://bachmai.gov.vn/bai-viet/dieu-tri-dai-thao-duong-tip-2-buoc-tien-moi-tu-insulin-nen-the-he-2-va-iglarlixi?id=5cdac324-549d-40aa-b3e6-80214932d112"
"92","DRUG_1f59725e11","Drug","Thuốc điều trị nhiễm trùng bàn chân","Liều lượng và thời gian dùng tùy theo mức độ nhiễm trùng và loại vi khuẩn.","Chỉ định điều trị nhiễm trùng do vi khuẩn ở người bệnh đái tháo đường.","Ức chế hoặc tiêu diệt vi khuẩn gây nhiễm trùng.","https://bachmai.gov.vn/tin-chi-tiet/-/bai-viet/cap-nhat-chan-doan-dieu-tri-benh-dai-thao-duong-va-bien-chung-8971-144.html"
"93","DRUG_1f9c0adeb7","Drug","Thuốc bổ sung vitamin D3 và canxi","Dùng theo chỉ định của bác sĩ. | Dùng theo chỉ định của bác sĩ để ngăn ngừa loãng xương.","Hỗ trợ xương khỏe mạnh trong bệnh thận mạn tính.","Tăng khả năng hấp thụ canxi từ thức ăn, hỗ trợ cấu trúc xương. | Tăng cường hấp thu canxi từ thức ăn, hỗ trợ cấu trúc xương.","https://web.archive.org/web/http://soyte.hatinh.gov.vn/tin-tuc-su-kien/pho-bien-kien-thuc/dau-hieu-benh-than-va-suy-than-.html | http://soyte.hatinh.gov.vn/tin-tuc-su-kien/pho-bien-kien-thuc/dau-hieu-benh-than-va-suy-than-.html"
