relation,display_relation,x_index,x_id,x_type,x_name,x_source,y_index,y_id,y_type,y_name,y_source,evidence,source_url
HAS_SYMPTOM,có triệu chứng lâm sàng,0,E10,Disease,Bệnh đái tháo đường típ 1,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,116,SYMP_1deca2e591,Symptom,Sốt cao,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,"Điều này giúp các y bác sĩ cá thể hóa người bệnh, chọn lọc kiến thức phù hợp để xây dựng được phác đồ điều trị tối ưu nhất",https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html
HAS_SYMPTOM,có triệu chứng lâm sàng,0,E10,Disease,Bệnh đái tháo đường típ 1,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,156,SYMP_a59398cbd0,Symptom,Toan ceton,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,"cơ chế bệnh sinh và các giai đoạn ĐTĐ típ 1, toan ceton do ĐTĐ",https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html
HAS_SYMPTOM,có triệu chứng lâm sàng,0,E10,Disease,Bệnh đái tháo đường típ 1,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,157,SYMP_4e6f6072b5,Symptom,Cảm giác mệt mỏi,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,"cơ chế bệnh sinh và các giai đoạn ĐTĐ típ 1, toan ceton do ĐTĐ",https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html
HAS_SYMPTOM,có triệu chứng lâm sàng,0,E10,Disease,Bệnh đái tháo đường típ 1,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,158,SYMP_2ccb0e8eb6,Symptom,Khát nước nhiều,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,"cơ chế bệnh sinh và các giai đoạn ĐTĐ típ 1, toan ceton do ĐTĐ",https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html
HAS_SYMPTOM,có triệu chứng lâm sàng,0,E10,Disease,Bệnh đái tháo đường típ 1,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,159,SYMP_0531d980ab,Symptom,Tiểu nhiều,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,"cơ chế bệnh sinh và các giai đoạn ĐTĐ típ 1, toan ceton do ĐTĐ",https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html
DIAGNOSED_BY,được chẩn đoán/xét nghiệm qua,0,E10,Disease,Bệnh đái tháo đường típ 1,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,223,DIAG_c09e16dbdb,DiagnosticTest,Chẩn đoán sớm ĐTĐ típ 1,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,"Cập nhật ISPAD 2024, chúng ta đang ở đâu trong sàng lọc, chẩn đoán sớm và cá thể điều trị ĐTĐ típ 1",https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html
DIAGNOSED_BY,được chẩn đoán/xét nghiệm qua,0,E10,Disease,Bệnh đái tháo đường típ 1,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,196,DIAG_65ce4e7566,DiagnosticTest,Đo glucose liên tục (CGM),https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,Dụng cụ đo glucose liên tục (CGM): chỉ định và ứng dụng trong kiểm soát glucose ở ĐTĐ típ 1,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html
DIAGNOSED_BY,được chẩn đoán/xét nghiệm qua,0,E10,Disease,Bệnh đái tháo đường típ 1,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,224,DIAG_28eba456a5,DiagnosticTest,Kiểm tra Insulin máu,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,"đái tháo đường (ĐTĐ) típ 1 hay còn gọi là đái tháo đường phụ thuộc Insulin, thường gặp ở trẻ em và thanh thiếu niên, do tuyến tụy không còn khả năng sản xuất đủ Insulin",https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html
DIAGNOSED_BY,được chẩn đoán/xét nghiệm qua,0,E10,Disease,Bệnh đái tháo đường típ 1,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,238,DIAG_a771507614,DiagnosticTest,Xét nghiệm HbA1c,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,"tầm quan trọng của theo dõi glucose máu, ứng dụng công nghệ đo đường huyết liên tục (CGM)",https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html
DIAGNOSED_BY,được chẩn đoán/xét nghiệm qua,0,E10,Disease,Bệnh đái tháo đường típ 1,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,226,DIAG_8ab47abacf,DiagnosticTest,Xét nghiệm kháng thể tự miễn,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,cơ chế bệnh sinh và các giai đoạn ĐTĐ típ 1,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html
