"node_index","node_id","node_type","node_name","node_description","node_source"
"1344","DEMO_0180d484ab","Demographic","Người bệnh đái tháo đường type 2","Có nguy cơ cao gặp biến chứng thận từ sớm. | Có nguy cơ cao gặp biến chứng thận từ sớm, thậm chí ngay khi phát hiện bệnh. | Có nguy cơ cao gặp biến chứng thận từ sớm. | Có nguy cơ cao gặp biến chứng thận từ sớm, thậm chí ngay khi phát hiện bệnh. | Có nguy cơ cao gặp biến chứng thận từ sớm.","https://web.archive.org/web/https://benhvientinh.caobang.gov.vn/index.php/vi/news/tin-tuc-su-kien/bien-chung-than-do-dai-thao-duong-6-dieu-nguoi-benh-phai-chu-y-710.html | https://benhvientinh.caobang.gov.vn/index.php/vi/news/tin-tuc-su-kien/bien-chung-than-do-dai-thao-duong-6-dieu-nguoi-benh-phai-chu-y-710.html | https://benhvientinh.caobang.gov.vn/index.php/vi/news/tin-tuc-su-kien/bien-chung-than-do-dai-thao-duong-6-dieu-nguoi-benh-phai-chu-y-710.html | https://benhvientinh.caobang.gov.vn/index.php/vi/news/tin-tuc-su-kien/bien-chung-than-do-dai-thao-duong-6-dieu-nguoi-benh-phai-chu-y-710.html | https://web.archive.org/web/https://benhvientinh.caobang.gov.vn/index.php/vi/news/tin-tuc-su-kien/bien-chung-than-do-dai-thao-duong-6-dieu-nguoi-benh-phai-chu-y-710.html | https://benhvientinh.caobang.gov.vn/index.php/vi/news/tin-tuc-su-kien/bien-chung-than-do-dai-thao-duong-6-dieu-nguoi-benh-phai-chu-y-710.html | https://web.archive.org/web/https://benhvientinh.caobang.gov.vn/index.php/vi/news/tin-tuc-su-kien/bien-chung-than-do-dai-thao-duong-6-dieu-nguoi-benh-phai-chu-y-710.html"
"1345","DEMO_021c28ea07","Demographic","Người lớn có BMI ≥23 kg/m²","Nhóm nguy cơ cao để phát triển đái tháo đường.","https://web.archive.org/web/https://www.benhviendakhoasongma.gov.vn/bai-viet/benh-dai-thao-duong-220"
"1346","DEMO_04d2f43c8d","Demographic","Người mắc bệnh mãn tính","Nhóm cần theo dõi chặt chẽ để ngăn ngừa biến chứng do bệnh lý nền.","https://benhvientinh.caobang.gov.vn/index.php/vi/news/dich-vu/tiep-nhan-dieu-tri-benh-nhan-dai-thao-duong-tuyp-2-co-bien-chung-mo-mat-do-khong-di-kham-va-tam-soat-som-443.html"
"1347","DEMO_0547357556","Demographic","Người bệnh đái tháo đường sau 20 năm","Tỷ lệ suy thận giai đoạn cuối lên tới 75%.","https://web.archive.org/web/https://benhvientinh.caobang.gov.vn/index.php/vi/news/tin-tuc-su-kien/bien-chung-than-do-dai-thao-duong-6-dieu-nguoi-benh-phai-chu-y-710.html"
"1348","DEMO_083afcc9fe","Demographic","Người có khối u chèn ép","Khối u có thể gây hẹp do chèn ép lên động mạch thận.","https://web.archive.org/web/https://medlatec.vn/tin-tuc/hep-dong-mach-than-la-gi-muc-do-nguy-hiem-va-phuong-phap-dieu-tri"
"1349","DEMO_0884b9b5c6","Demographic","Người bệnh đái tháo đường tại Bình Dương","Đối tượng nghiên cứu là người bệnh đang điều trị tại các cơ sở y tế tư nhân ở tỉnh Bình Dương. | Nhóm đối tượng nghiên cứu là người bệnh đái tháo đường đang điều trị tại các cơ sở y tế tư nhân ở tỉnh Bình Dương. | Nhóm đối tượng nghiên cứu là người bệnh đái tháo đường điều trị tại các cơ sở y tế tư nhân tỉnh Bình Dương.","https://web.archive.org/web/http://www.tapchiyhocduphong.vn/tap-chi-y-hoc-du-phong/2015/08/kien-thuc-ve-benh-dai-thao-duong-va-mot-so-yeu-to-lien-quan-cua-nguoi-benh-tai-c-o81E20305.html"
"1350","DEMO_095fa49652","Demographic","Người ngưng thuốc đột ngột","Không dùng thuốc kiểm soát nền, dẫn đến tiến triển viêm đường thở và bùng phát cơn hen.","https://medlatec.vn/tu-dien-benh-ly/con-hen-ac-tinh"
"1351","DEMO_09e93dcbb4","Demographic","Người bệnh ĐTĐ típ 2","Nhóm có nguy cơ cao bị biến chứng tim mạch và thần kinh ngoại biên, cần quản lý đa yếu tố. | Nhóm đối tượng dễ bị biến chứng tim mạch và thần kinh ngoại biên, cần quản lý đa yếu tố nguy cơ. | Nhóm đối tượng có nguy cơ cao bị biến chứng tim mạch và thần kinh ngoại biên, cần được phân tầng nguy cơ để điều trị cá thể hóa. | Nhóm đối tượng có nguy cơ cao mắc biến chứng tim mạch, thần kinh ngoại biên, loét bàn chân, và tử vong sớm. | Nhóm đối tượng có nguy cơ cao bị biến chứng tim mạch và thần kinh ngoại biên, cần quản lý đa yếu tố nguy cơ. | Nhóm đối tượng có nguy cơ cao bị biến chứng tim mạch và thần kinh ngoại biên, cần được phân tầng nguy cơ để điều trị cá thể hóa. | Nhóm đối tượng có nguy cơ cao mắc biến chứng tim mạch và thần kinh ngoại biên, cần được phân tầng nguy cơ để điều trị cá thể hóa. | Nhóm đối tượng có nguy cơ cao bị biến chứng tim mạch và thần kinh ngoại biên, cần quản lý đa yếu tố nguy cơ. | Nhóm có nguy cơ cao bị biến chứng tim mạch và thần kinh ngoại biên, cần được phân tầng nguy cơ để điều trị cá thể hóa. | Nhóm đối tượng có nguy cơ cao bị biến chứng tim mạch và thần kinh ngoại biên, cần được phân tầng nguy cơ để điều trị cá thể hóa. | Nhóm đối tượng có nguy cơ cao mắc biến chứng tim mạch, thần kinh ngoại biên, loét bàn chân, và tử vong sớm. | Nhóm có nguy cơ cao bị biến chứng tim mạch và thần kinh ngoại biên, cần quản lý đa yếu tố. | Nhóm có nguy cơ cao bị biến chứng tim mạch và thần kinh ngoại biên, cần quản lý đa yếu tố. | Nhóm đối tượng có nguy cơ cao bị biến chứng tim mạch và thần kinh ngoại biên, cần quản lý đa yếu tố nguy cơ. | Nhóm có nguy cơ cao bị biến chứng tim mạch và thần kinh ngoại biên, cần quản lý đa yếu tố. | Nhóm đối tượng có nguy cơ cao bị biến chứng tim mạch và thần kinh ngoại biên, cần quản lý đa yếu tố nguy cơ. | Nhóm có nguy cơ cao mắc biến chứng tim mạch và thần kinh ngoại biên, cần được quản lý đa yếu tố.","https://bachmai.gov.vn/bai-viet/dai-thao-duong-bien-chung-tim-mach-va-than-kinh-ngoai-bien-sat-thu-tham-lang?id=994f4df4-95c1-4760-8aee-8d07a69f9fe1 | https://web.archive.org/web/https://bachmai.gov.vn/bai-viet/dai-thao-duong-bien-chung-tim-mach-va-than-kinh-ngoai-bien-sat-thu-tham-lang?id=994f4df4-95c1-4760-8aee-8d07a69f9fe1 | https://bachmai.gov.vn/bai-viet/dai-thao-duong-bien-chung-tim-mach-va-than-kinh-ngoai-bien-sat-thu-tham-lang?id=994f4df4-95c1-4760-8aee-8d07a69f9fe1 | https://web.archive.org/web/https://chanthuongvacotsong.bachmai.gov.vn/dai-thao-duong-bien-chung-tim-mach-va-than-kinh-ngoai-bien-sat-thu-tham-lang/ | https://web.archive.org/web/https://bachmai.gov.vn/bai-viet/dai-thao-duong-bien-chung-tim-mach-va-than-kinh-ngoai-bien-sat-thu-tham-lang?id=994f4df4-95c1-4760-8aee-8d07a69f9fe1 | https://bachmai.gov.vn/bai-viet/dai-thao-duong-bien-chung-tim-mach-va-than-kinh-ngoai-bien-sat-thu-tham-lang?id=994f4df4-95c1-4760-8aee-8d07a69f9fe1 | https://web.archive.org/web/https://bachmai.gov.vn/bai-viet/dai-thao-duong-bien-chung-tim-mach-va-than-kinh-ngoai-bien-sat-thu-tham-lang?id=994f4df4-95c1-4760-8aee-8d07a69f9fe1 | https://bachmai.gov.vn/bai-viet/dai-thao-duong-bien-chung-tim-mach-va-than-kinh-ngoai-bien-sat-thu-tham-lang?id=994f4df4-95c1-4760-8aee-8d07a69f9fe1 | https://bachmai.gov.vn/bai-viet/dai-thao-duong-bien-chung-tim-mach-va-than-kinh-ngoai-bien-sat-thu-tham-lang?id=994f4df4-95c1-4760-8aee-8d07a69f9fe1 | https://chanthuongvacotsong.bachmai.gov.vn/dai-thao-duong-bien-chung-tim-mach-va-than-kinh-ngoai-bien-sat-thu-tham-lang/ | https://web.archive.org/web/https://bachmai.gov.vn/bai-viet/dai-thao-duong-bien-chung-tim-mach-va-than-kinh-ngoai-bien-sat-thu-tham-lang?id=994f4df4-95c1-4760-8aee-8d07a69f9fe1 | https://bachmai.gov.vn/bai-viet/dai-thao-duong-bien-chung-tim-mach-va-than-kinh-ngoai-bien-sat-thu-tham-lang?id=994f4df4-95c1-4760-8aee-8d07a69f9fe1 | https://bachmai.gov.vn/bai-viet/dai-thao-duong-bien-chung-tim-mach-va-than-kinh-ngoai-bien-sat-thu-tham-lang?id=994f4df4-95c1-4760-8aee-8d07a69f9fe1 | https://web.archive.org/web/https://bachmai.gov.vn/bai-viet/dai-thao-duong-bien-chung-tim-mach-va-than-kinh-ngoai-bien-sat-thu-tham-lang?id=994f4df4-95c1-4760-8aee-8d07a69f9fe1 | https://bachmai.gov.vn/bai-viet/dai-thao-duong-bien-chung-tim-mach-va-than-kinh-ngoai-bien-sat-thu-tham-lang?id=994f4df4-95c1-4760-8aee-8d07a69f9fe1 | https://web.archive.org/web/https://bachmai.gov.vn/bai-viet/dai-thao-duong-bien-chung-tim-mach-va-than-kinh-ngoai-bien-sat-thu-tham-lang?id=994f4df4-95c1-4760-8aee-8d07a69f9fe1"
"1352","DEMO_0b95eed0a0","Demographic","Người có hội chứng ngừng thở khi ngủ","Nhóm cần điều trị bằng máy thở CPAP để tránh nguy cơ tử vong.","https://bachmai.gov.vn/bai-viet/tho-may-khong-xam-nhap-trong-dieu-tri-benh-phoi-tac-nghen-man-tinh?id=828a5ae0-e152-ef2d-e6b5-48a6c8bafe5b"
"1353","DEMO_0c648f32bc","Demographic","Người bị chấn thương nặng hoặc phẫu thuật lớn","Tăng nguy cơ phát triển đái tháo đường típ 1 do stress sinh lý và viêm nhiễm.","https://web.archive.org/web/https://ttytiapa.gialai.gov.vn/van-ban/huong-dan-chan-doan-va-dieu-tri-benh-dai-thao-duong-tip-1-o-.html"
